A00;Cholera
Q86;Angeb. Fehlbildungssyndrome durch bekannte äußere Ursachen;Angeborene Fehlbildungssyndrome durch bekannte äußere Ursachen, anderenorts nicht klassifiziert
Q87;Sonst. angeb. Fehlbildungssyndr. mit Multisystembet.;Sonstige näher bezeichnete angeborene Fehlbildungssyndrome mit Beteiligung mehrerer Systeme
Q89;Sonst. angeb. Fehlbildungen, anderenorts nicht klassifiziert;Sonstige angeborene Fehlbildungen, anderenorts nicht klassifiziert
Q90;Down-Syndrom
Q91;Edwards-Syndrom und Patau-Syndrom
Q92;Sonst. & partielle Trisomien der Autosomen;Sonstige Trisomien und partielle Trisomien der Autosomen, anderenorts nicht klassifiziert
Q93;Monosomien und Deletionen der Autosomen;Monosomien und Deletionen der Autosomen, anderenorts nicht klassifiziert
Q95;Balancierte Chromosomen-Rearrangements und Struktur-Marker;Balancierte Chromosomen-Rearrangements und Struktur-Marker, anderenorts nicht klassifiziert
Q96;Turner-Syndrom
Q97;Sonstige Anomalien der Gonosomen bei weiblichem Phänotyp;Sonstige Anomalien der Gonosomen bei weiblichem Phänotyp, anderenorts nicht klassifiziert
Q98;Sonstige Anomalien der Gonosomen bei männlichem Phänotyp;Sonstige Anomalien der Gonosomen bei männlichem Phänotyp, anderenorts nicht klassifiziert
Q99;Sonstige Chromosomenanomalien;Sonstige Chromosomenanomalien, anderenorts nicht klassifiziert
R00;Störungen des Herzschlages
R01;Herzgeräusche und andere Herz-Schallphänomene
R02;Gangrän, anderenorts nicht klassifiziert
R03;Abnormer Blutdruckwert ohne Diagnose
R04;Blutung aus den Atemwegen
R05;Husten
R06;Störungen der Atmung
R07;Hals- und Brustschmerzen
R09;Sonst. Sympt., die d. Kreislauf- & Atmungssystem betreffen;Sonstige Symptome, die das Kreislaufsystem und das Atmungssystem betreffen
R10;Bauch- und Beckenschmerzen
R11;Übelkeit und Erbrechen
R12;Sodbrennen
R13;Dysphagie
R14;Flatulenz und verwandte Zustände
R15;Stuhlinkontinenz
R16;Hepatomegalie und Splenomegalie;Hepatomegalie und Splenomegalie, anderenorts nicht klassifiziert
R17;Gelbsucht, nicht näher bezeichnet
R18;Aszites
R19;Sonst. Symptome, die d. Verdauungssyst. & Abdomen betreffen;Sonstige Symptome, die das Verdauungssystem und das Abdomen betreffen
R20;Sensibilitätsstörungen der Haut
R21;Hautausschlag und sonstige unspezifische Hauteruptionen
R22;Lokalis. Schwellung/Raumford./Knoten der Haut & Unterhaut;Lokalisierte Schwellung, Raumforderung und Knoten der Haut und der Unterhaut
R23;Sonstige Hautveränderungen
R25;Abnorme unwillkürliche Bewegungen
R26;Störungen des Ganges und der Mobilität
R27;Sonstige Koordinationsstörungen
R29;Sonst. Sympt., die d. Nerven- & Muskel-Skelett-System betr.;Sonstige Symptome, die das Nervensystem und das Muskel-Skelett-System betreffen
R30;Schmerzen beim Wasserlassen
R31;Nicht näher bezeichnete Hämaturie
R32;Nicht näher bezeichnete Harninkontinenz
R33;Harnverhaltung
R34;Anurie und Oligurie
R35;Polyurie
R36;Ausfluss aus der Harnröhre
R39;Sonstige Symptome, die das Harnsystem betreffen
R40;Somnolenz, Sopor und Koma
R41;Sonst. Sympt., die d. Erkennungsvermögen & Bewusstsein betr.;Sonstige Symptome, die das Erkennungsvermögen und das Bewusstsein betreffen
R42;Schwindel und Taumel
R43;Störungen des Geruchs- und Geschmackssinnes
R44;Sonst. Sympt., die d. Sinneswahrn./Wahrnehmungsverm. betr.;Sonstige Symptome, die die Sinneswahrnehmungen und das Wahrnehmungsvermögen betreffen
R45;Symptome, die die Stimmung betreffen
R46;Sympt., die d. äußere Erscheinungsbild & das Verhalten betr.;Symptome, die das äußere Erscheinungsbild und das Verhalten betreffen
R47;Sprech- und Sprachstörungen, anderenorts nicht klassifiziert
R48;Dyslexie und sonstige Werkzeugstörungen;Dyslexie und sonstige Werkzeugstörungen, anderenorts nicht klassifiziert
R49;Störungen der Stimme
R50;Fieber sonstiger und unbekannter Ursache
R51;Kopfschmerz
R52;Schmerz, anderenorts nicht klassifiziert
R53;Unwohlsein und Ermüdung
R54;Senilität
R55;Synkope und Kollaps
R56;Krämpfe, anderenorts nicht klassifiziert
R57;Schock, anderenorts nicht klassifiziert
R58;Blutung, anderenorts nicht klassifiziert
R59;Lymphknotenvergrößerung
R60;Ödem, anderenorts nicht klassifiziert
R61;Hyperhidrose
R62;Ausbleiben d. erwarteten normalen physiol. Entwicklung;Ausbleiben der erwarteten normalen physiologischen Entwicklung
R63;Symptome, die die Nahrungs- & Flüssigkeitsaufnahme betreffen;Symptome, die die Nahrungs- und Flüssigkeitsaufnahme betreffen
R64;Kachexie
R65;Systemisches inflammatorisches Response-Syndrom [SIRS]
R68;Sonstige Allgemeinsymptome
R69;Unbekannte und nicht näher bezeichnete Krankheitsursachen
R70;Beschleunigte BSG und Veränderungen der Plasmaviskosität;Beschleunigte Blutkörperchensenkungsreaktion und Veränderungen der Plasmaviskosität
R71;Veränderung der Erythrozyten
R72;Veränderung der Leukozyten, anderenorts nicht klassifiziert
R73;Erhöhter Blutglukosewert
R74;Abnorme Serumenzymwerte
R75;Laborhinweis auf Humanes Immundefizienz-Virus [HIV]
R76;Sonstige abnorme immunologische Serumbefunde
R77;Sonstige Veränderungen der Plasmaproteine
R78;Nachw. v. Drogen & anderer nicht physiolog. hämatol. Subst.;Nachweis von Drogen und anderen Substanzen, die normalerweise nicht im Blut vorhanden sind
R79;Sonstige abnorme Befunde der Blutchemie
R80;Isolierte Proteinurie
R81;Glukosurie
R82;Sonstige abnorme Urinbefunde
R83;Abnorme Liquorbefunde
R84;Abnorme Befunde in Untersuchungsmat. aus Atemwegen & Thorax;Abnorme Befunde in Untersuchungsmaterialien aus Atemwegen und Thorax
R85;Abnorme Bef. in gastrointestin. & abdomin. Untersuchungsmat.;Abnorme Befunde in Untersuchungsmaterialien aus Verdauungsorganen und Bauchhöhle
R86;Abnorme Befunde in Untersuchungsmat. männl. Genitalorgane;Abnorme Befunde in Untersuchungsmaterialien aus den männlichen Genitalorganen
R87;Abnorme Befunde in Untersuchungsmat. weibl. Genitalorg.;Abnorme Befunde in Untersuchungsmaterialien aus den weiblichen Genitalorganen
R89;Abnorme Bef. anderer Körperorgane/-systeme/-gewebe;Abnorme Befunde in Untersuchungsmaterialien aus anderen Körperorganen, -systemen und -geweben
R90;Abnorme Befunde bei der bildgebenden Diagnostik des ZNS;Abnorme Befunde bei der bildgebenden Diagnostik des Zentralnervensystems
R91;Abnorme Befunde bei der bildgebenden Diagnostik der Lunge
R92;Abnorme Befunde bei der bildgebenden Diagnostik der Mamma;Abnorme Befunde bei der bildgebenden Diagnostik der Mamma [Brustdrüse]
R93;Abn. Befunde bei d. bildgeb. Diagnostik sonst. Körperstrukt.;Abnorme Befunde bei der bildgebenden Diagnostik sonstiger Körperstrukturen
R94;Abnorme Ergebnisse von Funktionsprüfungen
R95;Plötzlicher Kindstod
R96;Sonstiger plötzlicher Tod unbekannter Ursache
R98;Tod ohne Anwesenheit anderer Personen
R99;Sonstige ungenau oder n.n.bez. Todesursachen;Sonstige ungenau oder nicht näher bezeichnete Todesursachen
S00;Oberflächliche Verletzung des Kopfes
S01;Offene Wunde des Kopfes
S02;Fraktur des Schädels und der Gesichtsschädelknochen
S03;Luxation/Verstauchung/Zerrung kraniel. Gelenken & Bändern;Luxation, Verstauchung und Zerrung von Gelenken und Bändern des Kopfes
S04;Verletzung von Hirnnerven
S05;Verletzung des Auges und der Orbita
S06;Intrakranielle Verletzung
S07;Zerquetschung des Kopfes
S08;Traumatische Amputation von Teilen des Kopfes
S09;Sonstige und nicht näher bezeichnete Verletzungen des Kopfes
S10;Oberflächliche Verletzung des Halses
S11;Offene Wunde des Halses
S12;Fraktur im Bereich des Halses
S13;Luxation/Verstauchung/Zerrung cervikaler Gelenke & Bänder;Luxation, Verstauchung und Zerrung von Gelenken und Bändern in Halshöhe
S14;Verletzung der Nerven und des Rückenmarkes in Halshöhe
S15;Verletzung von Blutgefäßen in Halshöhe
S16;Verletzung von Muskeln und Sehnen in Halshöhe
S17;Zerquetschung des Halses
S18;Traumatische Amputation in Halshöhe
S19;Sonstige und nicht näher bezeichnete Verletzungen des Halses
S20;Oberflächliche Verletzung des Thorax
S21;Offene Wunde des Thorax
S22;Fraktur der Rippe(n), des Sternums und der Brustwirbelsäule
S23;Luxation/Verstauchung/Zerrung thorakal. Gelenke & Bänder;Luxation, Verstauchung und Zerrung von Gelenken und Bändern im Bereich des Thorax
S24;Verletzung der Nerven und des Rückenmarkes in Thoraxhöhe
S25;Verletzung von Blutgefäßen des Thorax
S26;Verletzung des Herzens
S27;Verletzung sonstiger & n.n.bez. intrathorakaler Organe;Verletzung sonstiger und nicht näher bezeichneter intrathorakaler Organe
S28;Zerquetschung des Thorax & traumat. Amputation thorak. Teile;Zerquetschung des Thorax und traumatische Amputation von Teilen des Thorax
S29;Sonstige und nicht näher bezeichnete Verletzungen des Thorax
S30;Oberflächl. Verletzung d. Abdomens/Lumbosakralgegend/Beckens;Oberflächliche Verletzung des Abdomens, der Lumbosakralgegend und des Beckens
S31;Offene Wunde d. Abdomens, d. Lumbosakralgegend & d. Beckens;Offene Wunde des Abdomens, der Lumbosakralgegend und des Beckens
S32;Fraktur der Lendenwirbelsäule und des Beckens
S33;Luxat./Verstauchung/Zerrung pelviner/LWS Gelenke & Bänder;Luxation, Verstauchung und Zerrung von Gelenken und Bändern der Lendenwirbelsäule und des Beckens
S34;Verletzung lumbaler/lumbosacraler/abdomin./pelviner Nerven;Verletzung der Nerven und des lumbalen Rückenmarkes in Höhe des Abdomens, der Lumbosakralgegend und des Beckens
S35;Verletzung abdomin./lumbosakral./pelviner Blutgefäße;Verletzung von Blutgefäßen in Höhe des Abdomens, der Lumbosakralgegend und des Beckens
S36;Verletzung von intraabdominalen Organen
S37;Verletzung der Harnorgane und der Beckenorgane
S38;Zerquet. & traumat. Amput. abdomin./lumbosakr./pelvin. Teile;Zerquetschung und traumatische Amputation von Teilen des Abdomens, der Lumbosakralgegend und des Beckens
S39;Sonst. & n.n.bez. abdomin./lumbosakr./pelvin. Verletzungen;Sonstige und nicht näher bezeichnete Verletzungen des Abdomens, der Lumbosakralgegend und des Beckens
S40;Oberflächliche Verletzung der Schulter und des Oberarmes
S41;Offene Wunde der Schulter und des Oberarmes
S42;Fraktur im Bereich der Schulter und des Oberarmes
S43;Luxat./Verstauch./Zerrung v. Gelenken/Bänd. d. Schultergürt.;Luxation, Verstauchung und Zerrung von Gelenken und Bändern des Schultergürtels
S44;Verletzung von Nerven in Höhe der Schulter und des Oberarmes
S45;Verletzung v. Blutgefäßen in Höhe Schulter/Oberarm;Verletzung von Blutgefäßen in Höhe der Schulter und des Oberarmes
S46;Verletzung von Muskeln & Sehnen in Höhe Schulter/Oberarm;Verletzung von Muskeln und Sehnen in Höhe der Schulter und des Oberarmes
S47;Zerquetschung der Schulter und des Oberarmes
S48;Traumatische Amputation an Schulter und Oberarm
S49;Sonstige & n.n.bez. Verletzungen d. Schulter/Oberarmes;Sonstige und nicht näher bezeichnete Verletzungen der Schulter und des Oberarmes
S50;Oberflächliche Verletzung des Unterarmes
S51;Offene Wunde des Unterarmes
S52;Fraktur des Unterarmes
S53;Luxat./Verstauchung/Zerrung d. Ellenbogengelenkes & -bänder;Luxation, Verstauchung und Zerrung des Ellenbogengelenkes und von Bändern des Ellenbogens
S54;Verletzung von Nerven in Höhe des Unterarmes
S55;Verletzung von Blutgefäßen in Höhe des Unterarmes
S56;Verletzung von Muskeln und Sehnen in Höhe des Unterarmes
S57;Zerquetschung des Unterarmes
S58;Traumatische Amputation am Unterarm
S59;Sonstige & n.n.bez. Verletzungen des Unterarmes;Sonstige und nicht näher bezeichnete Verletzungen des Unterarmes
S60;Oberflächliche Verletzung des Handgelenkes und der Hand
S61;Offene Wunde des Handgelenkes und der Hand
S62;Fraktur im Bereich des Handgelenkes und der Hand
S63;Luxat./Distors./Zerrung v. Gelenken/Bändern d. Hand/-gelenke;Luxation, Verstauchung und Zerrung von Gelenken und Bändern in Höhe des Handgelenkes und der Hand
S64;Verletzung von Nerven in Höhe des Handgelenkes und der Hand
S65;Verletzung von Blutgefäßen in Höhe d. Handgelenkes/Hand;Verletzung von Blutgefäßen in Höhe des Handgelenkes und der Hand
S66;Verletzung von Muskeln/Sehnen in Höhe d. Handgelenkes/Hand;Verletzung von Muskeln und Sehnen in Höhe des Handgelenkes und der Hand
S67;Zerquetschung des Handgelenkes und der Hand
S68;Traumatische Amputation an Handgelenk und Hand
S69;Sonst. & n.n.bez. Verletzungen des Handgelenkes & der Hand;Sonstige und nicht näher bezeichnete Verletzungen des Handgelenkes und der Hand
S70;Oberflächliche Verletzung der Hüfte und des Oberschenkels
S71;Offene Wunde der Hüfte und des Oberschenkels
S72;Fraktur des Femurs
S73;Luxat./Distors./Zerrung d. Hüftgelenkes/Bändern der Hüfte;Luxation, Verstauchung und Zerrung des Hüftgelenkes und von Bändern der Hüfte
S74;Verletzung von Nerven in Höhe d. Hüfte & des Oberschenkels;Verletzung von Nerven in Höhe der Hüfte und des Oberschenkels
S75;Verletzung v. Blutgefäßen d. Hüfte & d. Oberschenkels;Verletzung von Blutgefäßen in Höhe der Hüfte und des Oberschenkels
S76;Verletzung von Muskeln/Sehnen d. Hüfte/Oberschenkels;Verletzung von Muskeln und Sehnen in Höhe der Hüfte und des Oberschenkels
S77;Zerquetschung der Hüfte und des Oberschenkels
S78;Traumatische Amputation an Hüfte und Oberschenkel
S79;Sonst. & n.n.bez. Verletzungen d. Hüfte/Oberschenkels;Sonstige und nicht näher bezeichnete Verletzungen der Hüfte und des Oberschenkels
S80;Oberflächliche Verletzung des Unterschenkels
S81;Offene Wunde des Unterschenkels
S82;Fraktur des Unterschenkels, einschließlich des OSG;Fraktur des Unterschenkels, einschließlich des oberen Sprunggelenkes
S83;Luxation/Distors./Zerrung d. Kniegelenkes/gonaler Bänder;Luxation, Verstauchung und Zerrung des Kniegelenkes und von Bändern des Kniegelenkes
S84;Verletzung von Nerven in Höhe des Unterschenkels
S85;Verletzung von Blutgefäßen in Höhe des Unterschenkels
S86;Verletzung von Muskeln und Sehnen in Höhe des Unterschenkels
S87;Zerquetschung des Unterschenkels
S88;Traumatische Amputation am Unterschenkel
S89;Sonst. & n.n.bez. Verletzungen des Unterschenkels;Sonstige und nicht näher bezeichnete Verletzungen des Unterschenkels
S90;Oberflächliche Verletzung der Knöchelregion und des Fußes
S91;Offene Wunde der Knöchelregion und des Fußes
S92;Fraktur des Fußes [ausgenommen oberes Sprunggelenk]
S93;Luxat./Distors./Zerrung der Gelenke/Bänder d. OSG/Fußes;Luxation, Verstauchung und Zerrung der Gelenke und Bänder in Höhe des oberen Sprunggelenkes und des Fußes
S94;Verletzung von Nerven in Höhe des Knöchels und des Fußes
S95;Verletzung von Blutgefäßen in Höhe des Knöchels & des Fußes;Verletzung von Blutgefäßen in Höhe des Knöchels und des Fußes
S96;Verletzung von Muskeln/Sehnen des Knöchels & des Fußes;Verletzung von Muskeln und Sehnen in Höhe des Knöchels und des Fußes
S97;Zerquetschung des oberen Sprunggelenkes und des Fußes
S98;Traumatische Amputation am oberen Sprunggelenk und Fuß
S99;Sonst. & n.n.bez. Verletzungen d. Knöchelregion/Fußes;Sonstige und nicht näher bezeichnete Verletzungen der Knöchelregion und des Fußes
T00;Oberflächl. Verletzungen mehrerer Körperregionen;Oberflächliche Verletzungen mit Beteiligung mehrerer Körperregionen
T01;Offene Wunden mit Beteiligung mehrerer Körperregionen
T02;Frakturen mit Beteiligung mehrerer Körperregionen
T03;Luxat./Distors./Zerrungen mehrerer Körperregionen;Luxationen, Verstauchungen und Zerrungen mit Beteiligung mehrerer Körperregionen
T04;Zerquetschungen mit Beteiligung mehrerer Körperregionen
T05;Traumat. Amputationen mit Beteil. multipl. Körperregionen;Traumatische Amputationen mit Beteiligung mehrerer Körperregionen
T06;Sonst. Verletzungen mit Beteiligung mehrerer Körperregionen;Sonstige Verletzungen mit Beteiligung mehrerer Körperregionen, anderenorts nicht klassifiziert
T07;Nicht näher bezeichnete multiple Verletzungen
T08;Fraktur der Wirbelsäule, Höhe nicht näher bezeichnet
T09;Sonst. Verletzungen d. Wirbelsäule/Rumpfes, Höhe n.n.bez.;Sonstige Verletzungen der Wirbelsäule und des Rumpfes, Höhe nicht näher bezeichnet
T10;Fraktur der oberen Extremität, Höhe nicht näher bezeichnet
T11;Sonst. Verletzungen der oberen Extremität, Höhe n.n.bez.;Sonstige Verletzungen der oberen Extremität, Höhe nicht näher bezeichnet
T12;Fraktur der unteren Extremität, Höhe nicht näher bezeichnet
T13;Sonstige Verletzungen d. unteren Extremität, Höhe n.n.bez.;Sonstige Verletzungen der unteren Extremität, Höhe nicht näher bezeichnet
T14;Verletzung an einer nicht näher bezeichneten Körperregion
T15;Fremdkörper im äußeren Auge
T16;Fremdkörper im Ohr
T17;Fremdkörper in den Atemwegen
T18;Fremdkörper im Verdauungstrakt
T19;Fremdkörper im Urogenitaltrakt
T20;Verbrennung oder Verätzung des Kopfes und des Halses
T21;Verbrennung oder Verätzung des Rumpfes
T22;Verbrenn./Verätzung d. Schulter/Armes, außer Handgelenk/Hand;Verbrennung oder Verätzung der Schulter und des Armes, ausgenommen Handgelenk und Hand
T23;Verbrennung oder Verätzung des Handgelenkes und der Hand
T24;Verbrenn./Verätzung d. Hüfte/Beines, außer Knöchelregion/Fuß;Verbrennung oder Verätzung der Hüfte und des Beines, ausgenommen Knöchelregion und Fuß
T25;Verbrennung oder Verätzung der Knöchelregion und des Fußes
T26;Verbrenn./Verätz., begrenzt auf d. Auge & seine Anhangsgeb.;Verbrennung oder Verätzung, begrenzt auf das Auge und seine Anhangsgebilde
T27;Verbrennung oder Verätzung der Atemwege
T28;Verbrennung oder Verätzung sonstiger innerer Organe 
T29;Verbrennungen oder Verätzungen mehrerer Körperregionen
T30;Verbrennung oder Verätzung, Körperregion n. näher bezeichnet;Verbrennung oder Verätzung, Körperregion nicht näher bezeichnet
T31;Verbrenn., klassif. nach Ausmaß d. betroffenen Körperoberfl.;Verbrennungen, klassifiziert nach dem Ausmaß der betroffenen Körperoberfläche
T32;Verätz., klassif. nach Ausmaß d. betroffenen Körperoberfl.;Verätzungen, klassifiziert nach dem Ausmaß der betroffenen Körperoberfläche
T33;Oberflächliche Erfrierung
T34;Erfrierung mit Gewebsnekrose
T35;Erfrierung multipl. Körperregionen & n.n.bez. Erfrierung;Erfrierung mit Beteiligung mehrerer Körperregionen und nicht näher bezeichnete Erfrierung
T36;Vergiftung durch systemisch wirkende Antibiotika
T37;Vergif. durch sonst. system. wirkende Antiinfek./Antiparasi.;Vergiftung durch sonstige systemisch wirkende Antiinfektiva und Antiparasitika
T38;Vergif. durch Hormone/deren synthet. Ersatzstoffe/Antagon.;Vergiftung durch Hormone und deren synthetische Ersatzstoffe und Antagonisten, anderenorts nicht klassifiziert
T39;Vergif. durch opiatfreie Analgetika/Antipyretika/-rheumatika;Vergiftung durch nichtopioidhaltige Analgetika, Antipyretika und Antirheumatika
T40;Vergiftung durch Betäubungsmittel und Psychodysleptika;Vergiftung durch Betäubungsmittel und Psychodysleptika [Halluzinogene]
T41;Vergiftung durch Anästhetika und therapeutische Gase
T42;Vergif. durch Antiepilep./Sedativa/Hypnot./Antiparkinsonika;Vergiftung durch Antiepileptika, Sedativa, Hypnotika und Antiparkinsonmittel
T43;Vergiftung durch psychotrope Substanzen;Vergiftung durch psychotrope Substanzen, anderenorts nicht klassifiziert
T44;Vergif. durch primär auf d. autonome NS wirken. Arzneimittel;Vergiftung durch primär auf das autonome Nervensystem wirkende Arzneimittel
T45;Vergiftung durch primär systemisch/das Blut wirkende Mittel;Vergiftung durch primär systemisch und auf das Blut wirkende Mittel, anderenorts nicht klassifiziert
T46;Vergif. durch prim. auf d. Herz-Kreislaufsystem wirk. Mittel;Vergiftung durch primär auf das Herz-Kreislaufsystem wirkende Mittel
T47;Vergiftung durch primär auf den GI-Trakt wirkende Mittel;Vergiftung durch primär auf den Magen-Darm-Trakt wirkende Mittel
T48;Vergif. durch auf glatte/Skelettmusk./pulmon. wirk. Mittel;Vergiftung durch primär auf die glatte Muskulatur, die Skelettmuskulatur und das Atmungssystem wirkende Mittel
T49;Vergif. durch dermatolog. topi. Mittel in Augen-/HNO/Stomat.;Vergiftung durch primär auf Haut und Schleimhäute wirkende und in der Augen-, der Hals-Nasen-Ohren- und der Zahnheilkunde angewendete Mittel zur topischen Anwendung
T50;Vergift. durch Diuretika/Arzneim./Drogen/biol. aktive Subst.;Vergiftung durch Diuretika und sonstige und nicht näher bezeichnete Arzneimittel, Drogen und biologisch aktive Substanzen
T51;Toxische Wirkung von Alkohol
T52;Toxische Wirkung von organischen Lösungsmitteln
T53;Toxi. Wirkung halogen. aliphatische/aromat. Kohlenwasserst.;Toxische Wirkung von halogenierten aliphatischen und aromatischen Kohlenwasserstoffen
T54;Toxische Wirkung von ätzenden Substanzen
T55;Toxische Wirkung von Seifen und Detergenzien
T56;Toxische Wirkung von Metallen
T57;Toxische Wirkung von sonstigen anorganischen Substanzen
T58;Toxische Wirkung von Kohlenmonoxid
T59;Toxische Wirkung sonstiger Gase, Dämpfe oder sonst. Rauches;Toxische Wirkung sonstiger Gase, Dämpfe oder sonstigen Rauches
T60;Toxische Wirkung von Schädlingsbekämpfungsmitteln;Toxische Wirkung von Schädlingsbekämpfungsmitteln [Pestiziden]
T61;Toxische Wirkung schädl. Subst., durch essbare Meerestiere;Toxische Wirkung schädlicher Substanzen, die mit essbaren Meerestieren aufgenommen wurden
T62;Tox. Wirkung sonst. schädl. Substanzen durch Nahrung aufgen.;Toxische Wirkung sonstiger schädlicher Substanzen, die mit der Nahrung aufgenommen wurden
T63;Toxische Wirkung durch Kontakt mit giftigen Tieren
T64;Toxizit. v. Aflatoxin/sonst. Mykotox. in kontamin. Lebensm.;Toxische Wirkung von Aflatoxin und sonstigem Mykotoxin in kontaminierten Lebensmitteln
T65;Toxische Wirkung sonstiger und n.n.bez. Substanzen;Toxische Wirkung sonstiger und nicht näher bezeichneter Substanzen
T66;Nicht näher bezeichnete Schäden durch Strahlung
T67;Schäden durch Hitze und Sonnenlicht
T68;Hypothermie
T69;Sonstige Schäden durch niedrige Temperatur
T70;Schäden durch Luft- und Wasserdruck
T71;Erstickung
T73;Schäden durch sonstigen Mangel
T74;Missbrauch von Personen
T75;Schäden durch sonstige äußere Ursachen
T78;Unerwünschte Nebenwirkungen, anderenorts nicht klassifiziert
T79;Bestimmte Frühkomplikationen eines Traumas; Bestimmte Frühkomplikationen eines Traumas, anderenorts nicht klassifiziert
T80;Komplikationen nach therapeut. Infusion/Transfusion/Injekt.;Komplikationen nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken
T81;Komplikationen bei Eingriffen;Komplikationen bei Eingriffen, anderenorts nicht klassifiziert
T82;Komplikat. kardial/vasaler Prothesen/Implant./Transplant.;Komplikationen durch Prothesen, Implantate oder Transplantate im Herzen und in den Gefäßen
T83;Komplikat. durch urogenitale Prothesen/Implant./Transplant.;Komplikationen durch Prothesen, Implantate oder Transplantate im Urogenitaltrakt
T84;Komplikat. durch orthopäd. Endoprothesen/Implant./Transplan.;Komplikationen durch orthopädische Endoprothesen, Implantate oder Transplantate
T85;Komplikat. durch sonst. interne Proth./Implant./Transplant.;Komplikationen durch sonstige interne Prothesen, Implantate oder Transplantate
T86;Versagen & Abstoßung von transplantierten Organen & Geweben;Versagen und Abstoßung von transplantierten Organen und Geweben
T87;Komplikationen, bezeichnend für Replantation & Amputation;Komplikationen, die für Replantation und Amputation bezeichnend sind
T88;Sonst. Komplikat. bei chirurg. Eingriffen/medizin. Therapie;Sonstige Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert
T89;Sonstige näher bezeichnete Komplikationen eines Traumas
T90;Folgen von Verletzungen des Kopfes
T91;Folgen von Verletzungen des Halses und des Rumpfes
T92;Folgen von Verletzungen der oberen Extremität
T93;Folgen von Verletzungen der unteren Extremität
T94;Folgen von Verletz. multipl. oder n.n.bez. Körperregionen;Folgen von Verletzungen mehrerer oder nicht näher bezeichneter Körperregionen
T95;Folgen von Verbrennungen, Verätzungen oder Erfrierungen
T96;Vergiftungsfolgen durch Arzneim./Drogen/biolog. akt. Subst.;Folgen einer Vergiftung durch Arzneimittel, Drogen und biologisch aktive Substanzen
T97;Tox. Wirkungfolgen vorwiegend nicht mediz. verwend. Subst.;Folgen toxischer Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen
T98;Folgen sonstiger und n.n.bez. Wirkungen äußerer Ursachen;Folgen sonstiger und nicht näher bezeichneter Wirkungen äußerer Ursachen
V99;Transportmittelunfall
W49;Exposition gegenüber mechanischen Kräften unbelebter Objekte
W64;Exposition gegenüber mechanischen Kräften belebter Objekte
W87;Exposition gegenüber elektrischem Strom
W91;Exposition gegenüber Strahlung
W92;Exposition gegenüber übermäßiger, künstlich erzeugter Hitze
W93;Exposition gegenüber übermäßiger, künstlich erzeugter Kälte
W94;Exposition ggü. hohem/niedrigem Luftdruck/Luftdruckwechsel;Exposition gegenüber hohem oder niedrigem Luftdruck oder Luftdruckwechsel
X19;Verbrennung/Verbrühung durch Hitze oder heiße Substanzen;Verbrennung oder Verbrühung durch Hitze oder heiße Substanzen
X29;Kontakt mit giftigen Tieren und Pflanzen
X49;Akzident. Vergift. durch & Exposition ggü. schädl. Subst.;Akzidentelle Vergiftung durch und Exposition gegenüber schädliche(n) Substanzen
X59;Akzidentelle Exposition ggü. sonstigen & n.n.bez. Faktoren;Akzidentelle Exposition gegenüber sonstigen und nicht näher bezeichneten Faktoren
X84;Absichtliche Selbstbeschädigung
Y09;Tätlicher Angriff
Y34;Nicht näher bezeichnetes Ereignis, Umstände unbestimmt
Y35;Verletzungen bei gesetzlichen Maßnahmen
Y36;Verletzungen durch Kriegshandlungen
Y57;Unerwünschte NW bei therapeut. Anwendung von Arzneim./Drogen;Unerwünschte Nebenwirkungen bei therapeutischer Anwendung von Arzneimitteln und Drogen
Y59;Unerw. NW bei Therapie mit Impfstoffen/biolog. akt. Subst.;Unerwünschte Nebenwirkungen bei therapeutischer Anwendung von Impfstoffen oder biologisch aktiven Substanzen
Y69;Zwischenfälle bei chirurg. Eingriff & medizin. Behandlung;Zwischenfälle bei chirurgischem Eingriff und medizinischer Behandlung
Y82;Zwischenf. bei diagn/therapeut. genutzte Medizingeräte/Prod.;Medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen bei diagnostischer und therapeutischer Anwendung
Y84;Chirurgische und sonst. med. Maßnahmen als Ursache […];Chirurgische und sonstige medizinische Maßnahmen als Ursache einer abnormen Reaktion eines Patienten oder einer späteren Komplikation, ohne Angabe eines Zwischenfalls zum Zeitpunkt der Durchführung der Maßnahme
Z00;Allgemeinu./Abklärung bei Personen ohne Beschwerden/Diagnose;Allgemeinuntersuchung und Abklärung bei Personen ohne Beschwerden oder angegebene Diagnose
Z01;Sonst. spez. Abklärungen b. symptom-/diagnosefreien Personen;Sonstige spezielle Untersuchungen und Abklärungen bei Personen ohne Beschwerden oder angegebene Diagnose
Z02;Untersuchung und Konsultation aus administrativen Gründen
Z03;Ärztliche Beobachtung und Beurteilung von Verdachtsfällen
Z04;Untersuchung und Beobachtung aus sonstigen Gründen
Z08;Nachuntersuchung nach Behandlung wegen bösartiger Neubildung
Z09;Nachunt. nach Therap. wegen Krankheit. außer malig. Neubil.;Nachuntersuchung nach Behandlung wegen anderer Krankheitszustände außer bösartigen Neubildungen
Z10;Allgemeine Reihenuntersuchung bestimmter Bevölkerungsgruppen
